long,lat,storeName
-73.856077,40.848447,Morris Park Bake Shop
-73.961704,40.662942,Wendy'S
-73.98242,40.579505,Riviera Caterer
-73.8601152,40.7311739,Tov Kosher Kitchen
-73.8803827,40.7643124,Brunos On The Boulevard
-73.9851356,40.7676919,Dj Reynolds Pub And Restaurant
-73.9068506,40.6199034,Wilken'S Fine Food
-74.005289,40.628886,Regina Caterers
-73.9482609,40.6408271,Taste The Tropics Ice Cream
-74.1377286,40.6119572,Kosher Island
-73.8786113,40.8502883,Wild Asia
-73.9973325,40.6117489,C & C Catering Service
-73.9692691,40.7685235,1 East 66Th Street Kitchen
-73.871194,40.6730975,May May Kitchen
-73.9653967,40.6064339,Seuda Foods
-73.9782204,40.6435254,Carvel Ice Cream
-73.7032601,40.7386417,Carvel Ice Cream
-74.0259567,40.6353674,Nordic Delicacies
-73.9829239,40.6580753,The Movable Feast
-73.839297,40.78147,Sal'S Deli
-73.95171,40.767461,Glorious Food
-73.9925306,40.7309346,Bully'S Deli
-73.976112,40.786714,Harriet'S Kitchen
-73.9402474,40.7623288,Steve Chu'S Deli & Grocery
-73.9680572,40.7925587,P & S Deli Grocery
-73.996984,40.72589,Angelika Film Center
-73.9634876,40.6940001,White Castle
-73.8642349,40.75356,Ho Mei Restaurant
-74.0085357,40.7062054,The Country Cafe
-73.9246028,40.6522396,Shashemene Int'L Restaura
-74.0092084,40.7132925,Downtown Deli
-73.8485687,40.8903781,Carvel Ice Cream
-73.991495,40.692273,Dunkin' Donuts
-73.9998042,40.7251256,Olive'S
-73.8893654,40.8137618,Happy Garden
-73.990494,40.7569545,Cafe Metro
-73.902463,40.694924,Tony'S Deli
-73.97535,40.7516269,Lexler Deli
-74.1459332,40.6103714,Bagels N Buns
-73.8740217,40.7135015,Hot Bagels
-73.8309503,40.7001121,Snack Time Grill
-73.9791458,40.744328,Domino'S Pizza
-73.9568502,40.7753401,Lorenzo & Maria'S
-73.975393,40.757365,Berkely
-73.9075537,40.6438684,Sonny'S Heros
-74.0796436,40.5987834,Carvel Ice Cream
-73.9270151,40.6620192,Golden Pavillion
-73.9806854,40.7778589,Domino'S Pizza
-73.9615132,40.6253268,Kosher Bagel Hole
-73.9608412,40.8014307,Spoon Bread Catering
-84.2040813,9.9986585,Terminal Cafe/Yankee Clipper
-74.0228449,40.6281815,Mejlander & Mulgannon
-74.1178949,40.5734906,Plaza Bagels & Deli
-74.0061936,40.7092038,Texas Rotisserie
-74.0340048,40.6127077,Philadelhia Grille Express
-73.9625213,40.7098035,Peter Luger Steakhouse
-73.9712,40.751703,Palm Restaurant
-73.8941893,40.8634684,Happy Garden
-73.9774394,40.7604522,21 Club
-73.81364,40.829411,Manhem Club
-74.1523592,40.5563756,B & M Hot Bagel & Grocery
-73.966032,40.762832,Isle Of Capri Resturant
-73.9891878,40.7375638,Old Town Bar & Restaurant
-73.9483919,40.7224876,Polish National Home
-73.9716604,40.764832,Metropolitan Club
-74.00311,40.7348888,Seville Restaurant
-74.0010484,40.71599,Criminal Court Bldg Cafeteria
-73.9056678,40.7066898,Gottscheer Hall
-73.9788694,40.7665961,Nyac Main Dining Room
-73.98146,40.7250067,7B Bar
-73.8613715,40.7293762,Ben-Best Deli & Restaurant
-73.9805679,40.7659436,Cafe Atelier (Art Students League)
-73.965531,40.765431,Donohue'S Steak House
-73.9818918,40.6901211,Junior'S
-73.986219,40.763406,Tout Va Bien
-74.138263,40.546681,Great Kills Yacht Club
-73.9775552,40.7432016,Marchis Restaurant
-73.9544371,40.5877993,Towne Cafe
-73.840437,40.6627235,New Park Pizzeria & Restaurant
-73.964858,40.761899,Serendipity 3
-73.7522366,40.7766941,Douglaston Club
-73.9151096,40.763377,Rizzo'S Fine Pizza
-74.002944,40.652779,Melody Lanes
-73.8497176,40.8304811,The New Starling Athletic Club Of The Bronx
-74.006195,40.735663,White Horse Tavern
-74.0707363,40.5932157,Crystal Room
-74.0744432,40.6096914,Labetti'S Post # 2159
-73.9727638,40.588853,Shell Lanes
-73.9896713,40.7287978,Mcsorley'S Old Ale House
-73.9995049,40.7169224,Forlinis Restaurant
-74.2274942,40.5071996,South Shore Swimming Club
-74.0037823,40.7380122,Corner Bistro
-73.9493374,40.6509823,Nostrand Donut Shop
-73.9755707,40.7596796,La Grenouille
-73.952449,40.776325,Dorrian'S Red Hand Restaurant
-73.9395182,40.8422945,Como Pizza
-73.9973041,40.7188698,Angelo Of Mulberry St.
-74.001043,40.729795,Panchito'S
-74.0166091,40.6284767,New Corner
-74.004758,40.741207,Old Homestead
-48.9424,-16.3550032,Dining Room
-73.9812607,40.7547107,The Princeton Club
-73.9646207,40.7550069,Le Perigord
-74.1220973,40.6129407,Joe & Pat'S Pizzeria
-73.9365108,40.8497077,Reynold'S Bar
-73.970637,40.751495,Keats Restaurant
-73.9979214,40.7371344,Spain Restaurant & Bar
-73.9446421,40.7253944,Palace Cafe
-73.92506,40.8275556,Yankee Tavern
-73.9998723,40.7386361,Donut Pub
-74.0056649,40.7452371,Moran'S Chelsea
-73.9639209,40.8033908,V & T Restaurant
-73.9590059,40.7090147,Reben Luncheonette
-73.7867565,40.7271312,King Yum Restaurant
-73.9896898,40.6199526,J&V Famous Pizza
-73.8850023,40.7494272,Jahn'S Restaurant
-73.9799932,40.7660886,La Parisienne Diner
-73.989131,40.760039,Joe Allen Restaurant
-74.1653634,40.5450793,Joyce'S Tavern
-74.0003315,40.7274874,Arturo'S
-73.988948,40.760337,Barbetta Restaurant
-73.982241,40.576366,Gargiulo'S Restaurant
